semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total
244111,2014,אולפנת צביה מעלות,מעלות-תרשיחא,מעלות-תרשיחא,exact,5.0,0.022,21180.0,,מעלות-תרשיחא,83.334,86.43400000000001,0.0,0.4666666666666667,30.0,30.0
244111,2015,אולפנת צביה מעלות,מעלות-תרשיחא,מעלות-תרשיחא,exact,5.0,0.022,21180.0,,מעלות-תרשיחא,76.29,81.97129032258066,0.20512820512820512,0.425,39.0,40.0
244111,2016,אולפנת צביה מעלות,מעלות-תרשיחא,מעלות-תרשיחא,exact,5.0,0.022,21180.0,,מעלות-תרשיחא,79.8,83.4054054054054,0.15,0.37777777777777777,40.0,45.0
244152,2013,הרב תחומי שחקים,נהריה,נהרייה,exact,6.0,0.393,54305.0,,נהרייה,76.7838953488372,82.7041111111111,0.13372093023255813,0.35555555555555557,172.0,180.0
244152,2014,הרב תחומי שחקים,נהריה,נהרייה,exact,6.0,0.393,54305.0,,נהרייה,72.54608695652175,84.5738028169014,0.15217391304347827,0.30985915492957744,138.0,142.0
244152,2015,הרב תחומי שחקים,נהריה,נהרייה,exact,6.0,0.393,54305.0,,נהרייה,74.15254545454546,84.18057777777778,0.18181818181818182,0.4,220.0,225.0
244152,2016,הרב תחומי שחקים,נהריה,נהרייה,exact,6.0,0.393,54305.0,,נהרייה,72.9120792079208,83.31821256038647,0.16831683168316833,0.46859903381642515,202.0,207.0
244210,2013,שש שנתי אורט טבריה,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,74.50652173913045,77.0872340425532,0.08,0.2978723404255319,75.0,94.0
244210,2014,שש שנתי אורט טבריה,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,71.4809090909091,80.21549019607843,0.08333333333333333,0.21568627450980393,84.0,102.0
244210,2015,שש שנתי אורט טבריה,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,73.97365853658536,75.05615384615385,0.08888888888888889,0.19230769230769232,90.0,104.0
