semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total,combined_avg_grade,total_takers,log_population,log_total_takers,iso_outlier,lof_outlier,lof_score,iso_score,outlier_consensus,outlier_any,grand_total,teaching_cost,students,total_budget_per_student,teaching_budget_per_student
420976,2013,טומשין הבית של תמר,שפיים,שפיים,exact,7.0,0.781,1208.0,330.0,שפיים,70.56,83.07148148148147,0.0,0.4117647058823529,25.0,34.0,76.81574074074074,59.0,7.097548850614793,4.0943445622221,False,False,-1.0857485840821082,-0.4824565941519967,False,False,6917942.149999999,0.0,0.0,,
420976,2014,טומשין הבית של תמר,שפיים,שפיים,exact,7.0,0.781,1208.0,330.0,שפיים,71.73,83.85,0.0,0.2758620689655172,22.0,29.0,77.78999999999999,51.0,7.097548850614793,3.951243718581428,False,False,-1.08773184734395,-0.4845081877830184,False,False,6917942.149999999,0.0,0.0,,
420976,2015,טומשין הבית של תמר,שפיים,שפיים,exact,7.0,0.781,1208.0,330.0,שפיים,70.63,79.53999999999999,0.0,0.1785714285714285,19.0,28.0,75.085,47.0,7.097548850614793,3.871201010907891,False,False,-1.0508005396133306,-0.4999576896816337,False,False,6917942.149999999,0.0,0.0,,
420976,2016,טומשין הבית של תמר,שפיים,שפיים,exact,7.0,0.781,1208.0,330.0,שפיים,83.5,90.08,0.0,0.0,18.0,17.0,86.78999999999999,35.0,7.097548850614793,3.58351893845611,False,True,-1.3134759523637367,-0.5209559875929662,False,True,6917942.149999999,0.0,0.0,,
421198,2014,"בי""ס בית אקשטיין",ראשון לציון,ראשון לציון,exact,7.0,0.847,243329.0,,ראשון לציון,,,0.0,0.0,9.0,10.0,,19.0,12.4021738257325,2.995732273553991,False,False,,,False,False,3646591.4852,0.0,0.0,,
421198,2015,"בי""ס בית אקשטיין",ראשון לציון,ראשון לציון,exact,7.0,0.847,243329.0,,ראשון לציון,,,0.0,0.0,9.0,9.0,,18.0,12.4021738257325,2.9444389791664403,False,False,,,False,False,3646591.4852,0.0,0.0,,
421198,2016,"בי""ס בית אקשטיין",ראשון לציון,ראשון לציון,exact,7.0,0.847,243329.0,,ראשון לציון,62.43,88.16,0.0,0.3214285714285714,21.0,28.0,75.295,49.0,12.4021738257325,3.912023005428146,False,False,-0.9940571292058088,-0.458886200282576,False,False,3646591.4852,0.0,0.0,,
431171,2013,תיכון טכנולוגי עמל 1,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,69.07,,0.0,0.4705882352941176,14.0,17.0,69.07,31.0,11.192430902771898,3.4657359027997265,False,True,-1.2709080390135914,-0.4848953309374772,False,True,6928163.166915922,0.0,149.0,46497.73937527465,0.0
431171,2014,תיכון טכנולוגי עמל 1,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,,,0.0,,7.0,,,7.0,11.192430902771898,2.079441541679836,False,False,,,False,False,6928163.166915922,0.0,149.0,46497.73937527465,0.0
431171,2015,תיכון טכנולוגי עמל 1,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,71.38,,0.0,0.0,13.0,10.0,71.38,23.0,11.192430902771898,3.1780538303479458,False,False,-0.9919867389363798,-0.4632698981219349,False,False,6928163.166915922,0.0,149.0,46497.73937527465,0.0
431189,2016,מרכז נוער ממלכתי,נתניה,נתניה,exact,6.0,0.199,206793.0,,נתניה,,,0.0,0.0,6.0,7.0,,13.0,12.239478407655858,2.6390573296152584,False,False,,,False,False,10635408.491903428,0.0,209.0,50887.1219708298,0.0
431205,2013,"מרכז נוער ממ""ד",נתניה,נתניה,exact,6.0,0.199,206793.0,,נתניה,,,0.0,0.0,7.0,5.0,,12.0,12.239478407655858,2.5649493574615367,False,False,,,False,False,11081715.795422813,208332.2484,263.0,42135.801503508796,792.1378266159696
